0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
金地格林郡,青浦,107104335947,610,36368元/平米,2008年建/板楼,6室2厅1厨2卫,高楼层 (共4层),167.73㎡,复式,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-08-16,商品房,2015-10-29,普通住宅,满五年,共有,有抵押 130万元 客户偿还,已上传房本照片,"码
202101258151





查询房管备案记录",,,
唐丰苑,浦东,107103671207,320,55373元/平米,2014年建/板楼,1室1厅1厨1卫,中楼层 (共14层),57.79㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,有,2021-03-07,商品房,2019-09-10,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"码
202100560973





查询房管备案记录",,,
复地新都国际,静安,107104352927,950,120178元/平米,2011年建/板楼,1室2厅1厨1卫,高楼层 (共30层),79.05㎡,平层,暂无数据,板楼,东 东南,钢混结构,精装,两梯六户,有,2021-08-21,商品房,2014-02-17,普通住宅,满五年,共有,有抵押 200万元 中国银行 业主自还,已上传房本照片,"码
202101259929





查询房管备案记录",,,
洛川路14号,普陀,107104248085,195,56703元/平米,1987年建/板楼,1室1厅1厨1卫,高楼层 (共7层),34.39㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,无,2021-07-24,商品房,2019-05-11,普通住宅,未满两年,共有,有抵押 50万元 上海住房公积金 业主自还,已上传房本照片,"码
202101104736





查询房管备案记录",,,
凯成苑,静安,107104367021,850,68312元/平米,2000年建/板楼,3室2厅1厨2卫,低楼层 (共8层),124.43㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,有,2021-08-24,商品房,2014-12-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101282206





查询房管备案记录",,,
东安二村,徐汇,107104373234,665,84941元/平米,1958年建/板楼,2室2厅1厨1卫,低楼层 (共4层),78.29㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯八户,无,2021-08-26,商品房,2007-01-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101281433





查询房管备案记录",,,
中国铁建香榭国际,奉贤,107103985898,519,42103元/平米,2018年建/暂无数据,4室2厅1厨2卫,中楼层 (共20层),123.27㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯两户,有,2021-05-17,商品房,2020-03-09,普通住宅,未满两年,共有,有抵押 1万元 商贷 业主自还,已上传房本照片,"码
202100846945





查询房管备案记录",,,
中国铁建香榭国际,奉贤,107103892626,430,25734元/平米,2018年建/板楼,3室1厅1厨1卫,低楼层 (共20层),167.1㎡,平层,暂无数据,板楼,南,混合结构,精装,两梯四户,有,2021-04-24,商品房,2017-01-12,普通住宅,未满两年,共有,有抵押 100万元 中国农业银行 客户偿还,已上传房本照片,"码
202101015809





查询房管备案记录",,,
中国铁建香榭国际,奉贤,107104145563,308,24052元/平米,未知年建/塔楼,2室2厅1厨1卫,低楼层 (共20层),128.06㎡,复式,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2021-06-26,商品房,2020-06-19,普通住宅,未满两年,共有,有抵押 50万元 银行 业主自还,已上传房本照片,"码
202100994239





查询房管备案记录",,,
晨光公寓,浦东,107104226024,369,39206元/平米,1995年建/板楼,3室1厅1厨1卫,高楼层 (共6层),94.12㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,无,2021-07-17,商品房,2020-05-16,普通住宅,未满两年,共有,无抵押,已上传房本照片,"码
202101068695





查询房管备案记录",,,
