,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
1581,beijing,中海紫御公馆,116.39859013249313,39.87631999358053,东城,101112331904,6900000.0,112123,Low,61.54,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2010,2,1,1,1
1582,beijing,怡海花园恒泰园,116.30669886865543,39.84123073421871,丰台,101112097028,10800000.0,69682,Low,154.99,Flat,Tower,Steel/Concrete,Hardcover,Yes,2005,3,1,1,2
1583,beijing,莱圳家园,116.35253499713262,40.05025106178774,海淀,101112283455,10200000.0,90667,Low,112.5,Flat,Plate,Steel/Concrete,Hardcover,Yes,2006,3,1,1,2
1584,beijing,宝隆温泉公寓,116.30110754566968,39.83852282586157,丰台,101111479051,3200000.0,46451,High,68.89,Flat,Tower,Steel/Concrete,Hardcover,Yes,2000,2,1,1,1
1585,beijing,水色时光五区,116.73237800236318,40.21323404725804,顺义,101110984528,2220000.0,21985,Middle,100.98,Flat,Plate,Steel/Concrete,Hardcover,Yes,2009,3,1,1,1
1586,beijing,彩虹城三区,116.42607971838727,39.84452880486406,丰台,101112473038,6200000.0,67115,High,92.38,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2005,2,1,1,1
1587,beijing,美然动力A3区,116.56493538242266,39.92742754320709,朝阳,101112284097,4700000.0,53893,Low,87.21,Flat,Plate,Steel/Concrete,Simplicity,Yes,2002,2,1,1,1
1588,beijing,华纺易城,116.5225430877791,39.9373172508755,朝阳,101112251895,8690000.0,86546,Middle,100.41,Flat,Plate & Tower,Steel/Concrete,Simplicity,Yes,2005,2,1,1,1
1589,beijing,东晶国际,116.50072154016125,39.80528598694745,亦庄开发区,101112176199,5100000.0,40593,Middle,125.64,Duplex,Plate & Tower,Steel/Concrete,Hardcover,Yes,2002,2,1,1,2
1590,beijing,新康家园,116.49546591394459,39.80607572216842,亦庄开发区,101110816905,7050000.0,48100,Top ,146.57,Flat,Plate,Steel/Concrete,Hardcover,Yes,2000,3,1,1,2
1591,beijing,角门东里,116.3909367492092,39.85580963605531,丰台,101112097686,3950000.0,55268,Low,71.47,Flat,Tower,Steel/Concrete,Simplicity,Yes,2000,2,1,1,1
1592,beijing,富力尚悦居,116.5943912692476,39.77770478925122,通州,101111032931,4200000.0,29815,Low,140.87,Flat,Plate,Steel/Concrete,Hardcover,Yes,2015,4,1,1,2
1593,beijing,青秀城,116.34722349631322,39.841588899705386,丰台,101111244712,7790000.0,65314,Low,119.27,Flat,Plate,Steel/Concrete,Rough,Yes,2011,3,2,1,2
1594,beijing,长阳半岛2号院,116.21346140418049,39.76786507954783,房山,101112467756,4460000.0,43483,Low,102.57,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2011,3,1,1,1
1595,beijing,世茂奥临花园,116.4096347987383,40.04052724236545,朝阳,101111644903,9600000.0,82206,Middle,116.78,Flat,Plate,Steel/Concrete,Hardcover,Yes,2007,2,1,1,2
1596,beijing,保利首开熙悦春天,116.32694415959492,39.67351591631738,大兴,101112233024,4480000.0,46623,Middle,96.09,Flat,Plate,Steel/Concrete,Hardcover,Yes,2016,4,1,1,2
1597,beijing,香悦四季,116.66267012360275,40.186692162655376,顺义,101112288753,2880000.0,33104,Middle,87,Flat,Plate,Steel/Concrete,Rough,Yes,2013,3,1,1,1
1598,beijing,沿海赛洛城一期,116.51049348715989,39.90227225774744,朝阳,101111177983,6480000.0,55065,Middle,117.68,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2007,2,1,1,2
1599,beijing,宋庄路甲12号院,116.43438500197978,39.858536104081345,丰台,101108468602,2460000.0,50764,First Floor ,48.46,Flat,Plate,Mixed,Hardcover,No,1995,1,1,1,1
1600,beijing,住总万科橙,116.46601793220815,39.81133854245936,大兴,101110620717,4250000.0,46236,Low,91.92,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2015,3,1,1,1
1601,beijing,园博嘉园,116.18998454899943,39.865825650365146,丰台,101112069621,4850000.0,55582,High,87.26,Flat,Plate,Steel/Concrete,Hardcover,Yes,2014,2,1,1,1
1602,beijing,洋桥71号院,116.38928485520692,39.858505502887624,丰台,101111920056,3600000.0,59250,Low,60.76,Flat,Tower,Steel/Concrete,Hardcover,Yes,1996,2,1,1,1
1603,beijing,京棉新城,116.51301745615129,39.92366917208881,朝阳,101112208032,4580000.0,58568,Low,78.2,Flat,Tower,Steel/Concrete,Hardcover,Yes,2006,2,2,1,1
1604,beijing,清润家园,116.36167049467744,40.03637104428919,海淀,101112714048,5090000.0,73555,Top ,69.2,Flat,Plate,Brick/Concrete,Rough,No,1989,3,1,1,1
1605,beijing,金隅泰和园,116.53798208491799,39.92659951456461,朝阳,101112439472,4700000.0,59053,Low,79.59,Flat,Plate & Tower,Steel/Concrete,Simplicity,Yes,2013,2,1,1,1
1606,beijing,橡树湾三期,116.33897534495115,40.03431767455191,海淀,101110978883,17500000.0,112022,Middle,156.22,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2011,3,2,1,2
1607,beijing,金地仰山东区,116.32127423487704,39.77132648706971,大兴,101111853439,9200000.0,53871,Top ,170.78,Duplex,Plate,Steel/Concrete,Simplicity,Yes,2012,4,1,1,2
1608,beijing,晨光家园B区,116.51072596862588,39.93178905132713,朝阳,101111246993,8460000.0,66757,First Floor ,126.73,Flat,Plate,Steel/Concrete,Hardcover,Yes,2008,3,2,1,2
1609,beijing,龙兴家园,116.50221120018844,39.629679742932254,大兴,101112124173,1640000.0,18211,High,90.06,Flat,Plate,Mixed,Rough,No,2008,2,1,1,1
1610,beijing,大红门35号院,116.38674372858029,39.84671381163985,丰台,101112330365,3480000.0,61572,Middle,56.52,Flat,Plate,Brick/Concrete,Hardcover,No,2000,1,1,1,1
1611,beijing,冠城大通百旺府,116.26270902749293,40.085056085889974,海淀,101111706045,11150000.0,82258,Middle,135.55,Flat,Plate,Steel/Concrete,Simplicity,Yes,2016,3,2,1,2
1612,beijing,首邑溪谷,116.31665389031701,39.76666310216808,大兴,101112451525,4300000.0,64906,High,66.25,Duplex,Plate & Tower,Steel/Concrete,Simplicity,Yes,2012,3,1,1,2
1613,beijing,珠江罗马嘉园东区,116.52149503474061,39.93069605518714,朝阳,101111552080,12800000.0,68057,High,188.08,Flat,Plate,Steel/Concrete,Hardcover,Yes,2009,3,1,1,2
1614,beijing,天通苑中苑,116.43371495589989,40.07866407586977,昌平,101111736425,6350000.0,42822,Middle,148.29,Flat,Plate,Steel/Concrete,Hardcover,Yes,2008,3,1,1,2
1615,beijing,北京城建琨廷漫缇,116.07451420281365,39.679901124030465,房山,101111677630,2180000.0,20619,Middle,105.73,Flat,Plate,Steel/Concrete,Hardcover,Yes,2016,3,1,1,1
1616,beijing,石佛营东里小区,116.510432043063,39.94033807533417,朝阳,101112377744,4310000.0,57437,Middle,75.04,Flat,Plate & Tower,Steel/Concrete,Simplicity,Yes,1992,3,1,1,1
1617,beijing,宝隆温泉公寓,116.30110754566968,39.83852282586157,丰台,101111479113,2800000.0,46320,High,60.45,Flat,Tower,Steel/Concrete,Hardcover,Yes,2000,1,1,1,1
1618,beijing,东方生活区,116.67110835641073,39.9070699967172,通州,101112220493,2050000.0,40935,Middle,50.08,Flat,Plate,Mixed,Simplicity,No,1983,2,1,1,1
1619,beijing,国际花园3号院,116.30352785020521,39.82004056583603,房山,101110316085,3760000.0,41923,Middle,89.69,Flat,Plate,Steel/Concrete,Hardcover,Yes,2014,3,1,1,1
1620,beijing,恒富花园2号院,116.3025089920958,39.842494069401035,丰台,101112151398,6400000.0,47202,Middle,135.59,Flat,Tower,Steel/Concrete,Simplicity,Yes,1999,3,1,1,2
1621,beijing,南苑北里三区,116.40170779159605,39.816942763957194,丰台,101109589521,3580000.0,45745,Low,78.26,Flat,Plate,Mixed,Hardcover,No,1996,3,1,1,1
1622,beijing,王府温馨公寓,116.40010647219397,40.11429738698544,昌平,101112433840,3880000.0,31522,Middle,123.09,Flat,Plate,Mixed,Simplicity,No,1999,3,2,1,2
1623,beijing,天通苑北二区,116.42826870925397,40.082314075312674,昌平,101112498667,4950000.0,43277,High,114.38,Flat,Plate,Steel/Concrete,Hardcover,Yes,2005,2,1,1,2
1624,beijing,枣园东里,116.34166702758125,39.759566096222045,大兴,101111996432,2620000.0,33982,Top ,77.1,Flat,Plate,Mixed,Simplicity,No,1996,2,1,1,1
1625,beijing,沿海赛洛城五期,116.51283734589653,39.90614700571261,朝阳,101112223323,5600000.0,60685,Low,92.28,Flat,Tower,Steel/Concrete,Hardcover,Yes,2008,2,1,1,1
1626,beijing,太平里,116.32977175584867,39.88895892959898,西城,101111430693,12980000.0,87273,Middle,148.73,Flat,Plate,Mixed,Hardcover,No,1998,4,2,1,2
1627,beijing,壹线国际,116.51027708536255,39.9150162224772,朝阳,101109300336,7050000.0,53982,Middle,130.6,Flat,Plate & Tower,Steel/Concrete,Simplicity,Yes,2006,2,2,1,1
