,City,HouseName,Lng,Lat,tradeTime,DOM,followers,totalPrice,price,square,bedRoom,livingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,subway,district
91,Shanghai,三杨新村二街坊,121.49484464491456,31.162314083560926,2021,10,19,7000000.0,92082.0,76.02,2.0,1,1,1,Low,Plate       ,2012 ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
92,Shanghai,红梅小区(嘉定),121.37046203010317,31.221199854965864,2021,8,29,1720000.0,26204.0,65.64,2.0,2,1,1,Middle,Plate       ,1978 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
93,Shanghai,浦江智汇园,121.52775604354473,31.082101833425632,2021,47,38,6370000.0,45018.0,141.5,4.0,2,1,2,Low,Plate       ,2010 ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
94,Shanghai,共和新路4699弄,121.45764231035488,31.324820725532593,2021,18,32,3560000.0,61188.0,58.1,2.0,1,1,1,Low,Plate       ,1996 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
95,Shanghai,鸿发家园,121.39180415207034,31.135813830644896,2021,113,80,6970000.0,80887.0,86.17,2.0,2,1,1,High,Plate       ,2002 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
96,Shanghai,七韵美地苑,121.35908157725838,31.1726367786646,2021,29,22,6620000.0,83819.0,78.98,2.0,2,1,1,Low,Plate       ,2010 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
97,Shanghai,阳光城MODO自由区,121.59465599894207,31.30637631388828,2021,556,1,1600000.0,32561.0,49.14,1.0,1,1,1,High,Tower       ,2014 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
98,Shanghai,密三小区,121.49911438083404,31.287004861188194,2021,11,0,4040000.0,80833.0,49.98,2.0,1,1,1,Low,Plate       ,1981 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
99,Shanghai,光明·唐镇壹号,121.48053886017651,31.235929042252014,2021,9,0,5150000.0,57159.0,90.1,2.0,2,0,1,High,Plate       ,2015 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
100,Shanghai,杨镇新村,121.60064563059096,31.22441717742983,2021,3,0,5630000.0,53330.0,105.57,3.0,2,1,1,High,Plate       ,1994 ,Other     ,Brick/Concrete  ,No           ,Unknown,Unknown
101,Shanghai,美林小城,121.57001754490604,31.121330981865356,2021,25,2,5760000.0,60953.0,94.5,2.0,2,1,1,Middle,Plate       ,2006 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
102,Shanghai,万寿新村(青浦),121.11756396632066,31.165263827867957,2021,4,6,2030000.0,34797.0,58.34,2.0,1,1,1,Low,Plate       ,1994 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
103,Shanghai,丰庄四村,121.37620310061746,31.253747734417182,2021,35,46,3360000.0,49202.0,68.29,2.0,1,1,1,High,Plate       ,1996 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
104,Shanghai,万荣小区,121.4434830392455,31.291387910096027,2021,24,28,2130000.0,67066.0,31.76,1.0,1,1,1,Middle,Plate       ,1994 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
105,Shanghai,振虹苑,121.41607501949169,31.193255823927515,2021,3,0,7200000.0,88572.0,81.29,2.0,2,1,1,Middle,Plate       ,2005 ,Simplicity     ,Steel/Concrete  ,No           ,Unknown,Unknown
106,Shanghai,茂盛花苑,121.3435277766753,31.175868591299583,2021,42,39,3260000.0,48832.0,66.76,2.0,0,1,2,Middle,Plate       ,1996 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
107,Shanghai,延吉东路137弄,121.55137761574345,31.299151281680984,2021,75,121,1960000.0,60513.0,32.39,1.0,0,1,1,High,Plate       ,1991 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
108,Shanghai,丽景新苑,121.37021697236005,31.25004989790425,2021,29,49,5700000.0,52017.0,109.58,4.0,2,1,2,High,Plate       ,1998 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
109,Shanghai,安西小区,121.449013996101,31.245212845537495,2021,95,65,2400000.0,82249.0,29.18,1.0,1,1,1,High,Plate       ,1996 ,Simplicity     ,Steel/Concrete  ,No           ,Unknown,Unknown
110,Shanghai,华府天地愉园,121.3639270371792,31.057520861599265,2021,132,59,9500000.0,62092.0,153.0,4.0,2,1,3,Middle,Plate       ,NaN ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
111,Shanghai,金盛佳苑,121.69295460649079,31.248213080837292,2021,15,0,3490000.0,41993.0,83.11,2.0,1,1,1,Middle,Plate       ,2006 ,Simplicity     ,Steel/Concrete  ,No           ,Unknown,Unknown
112,Shanghai,听潮二村,121.75053455239156,31.055674549371417,2021,4,2,1630000.0,28497.0,57.2,2.0,1,1,1,Middle,Plate       ,1989 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
113,Shanghai,虹纺小区,121.39558862335333,31.20800863413525,2021,114,140,3600000.0,72145.0,49.9,2.0,0,1,1,Low,Plate       ,1987 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
114,Shanghai,奥林匹克花园,121.33351301769731,31.153725893777253,2021,80,28,4200000.0,54215.0,77.47,2.0,2,1,1,Middle,Plate       ,2003 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
115,Shanghai,欧五小区,121.49386270716161,31.278979384559886,2021,208,25,2530000.0,82088.0,30.76,1.0,0,1,1,Low,Plate       ,1979 ,Rough     ,Brick/Concrete  ,No           ,Unknown,Unknown
