,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
23,guangzhou,富丽花苑,113.33560377481595,23.136056213394543,天河,108402606178,6500000.0,66790,High,97.32,Flat,Tower,Steel/Concrete,Hardcover,Yes,1994,3,2,1,2
24,guangzhou,同和云苑新村,113.27452816287382,23.171937505241406,白云,108402609624,2400000.0,26694,High,89.91,Flat,Tower,Steel/Concrete,Hardcover,No,2000,3,2,1,2
25,guangzhou,万科柏悦湾,113.23014693001527,23.124239029950587,荔湾,108402605113,4850000.0,50500,High,96.04,Flat,Tower,Steel/Concrete,Hardcover,Yes,2005,3,2,1,2
26,guangzhou,光大花园中海锦榕湾,113.26515955505225,23.09181769161996,海珠,108402609134,8600000.0,80045,Low,107.44,Flat,Tower,Steel/Concrete,Hardcover,Yes,2006,3,2,1,2
27,guangzhou,法政路,113.16944024406122,23.46696506268642,越秀,108402603466,9000000.0,75586,High,119.07,Flat,Plate,Steel/Concrete,Hardcover,Yes,NaN,4,2,1,2
28,guangzhou,光塔路,113.26354647234005,23.129309518444824,越秀,108402333209,1650000.0,40903,Middle,40.34,Other,Tower,Steel/Concrete,Hardcover,No,1990,3,1,1,2
29,guangzhou,黄石花园,113.27351190985071,23.210872598763757,白云,108402612099,1620000.0,23849,Low,67.93,Flat,Tower,Steel/Concrete,Simplicity,No,1997,2,1,1,1
30,guangzhou,金山谷尚层,113.35298535761443,22.982884743909224,番禺,108402602140,7600000.0,42805,Middle,177.55,Flat,Plate,Steel/Concrete,Hardcover,Yes,NaN,4,2,1,2
31,guangzhou,江南西路,113.27712660139113,23.10100655381085,海珠,108402605313,1630000.0,34704,Middle,46.97,Flat,Plate,Steel/Concrete,Simplicity,No,NaN,2,1,1,1
32,guangzhou,金沙路,113.21710631876178,23.158971629072607,海珠,108402608299,2400000.0,27587,Middle,87,Flat,Plate,Steel/Concrete,Simplicity,No,NaN,3,2,1,1
33,guangzhou,景泰名苑,113.2728183281667,23.1681062515839,白云,108402610699,2450000.0,32706,Middle,74.91,Flat,Tower,Steel/Concrete,Simplicity,Yes,2001,2,1,1,1
34,guangzhou,祥港花园,113.26682761855318,23.158650074226685,白云,108402611044,2200000.0,23134,High,95.1,Flat,Tower,Steel/Concrete,Hardcover,No,1994,2,2,1,2
35,guangzhou,金钟横路,113.27546716162308,23.175612916021166,白云,108402609985,2630000.0,28396,Middle,92.62,Flat,Plate,Steel/Concrete,Simplicity,Yes,2000,3,1,1,1
36,guangzhou,金宇花园,113.26015401709121,23.066617051362815,荔湾,108402601842,1600000.0,22217,High,72.02,Flat,Tower,Steel/Concrete,Hardcover,No,1998,2,1,1,1
37,guangzhou,恒达苑,113.33543291710801,23.151686322195143,天河,108402598156,8500000.0,94131,Middle,90.3,Flat,Tower,Steel/Concrete,Hardcover,Yes,1998,3,2,1,1
38,guangzhou,新文街小区,113.62158454399493,23.11421949296242,增城,108402607698,510000.0,7193,High,70.91,Flat,Other,Steel/Concrete,Simplicity,Unknown,NaN,2,1,1,1
39,guangzhou,雅宝新城亚瑟公馆,113.1941810231714,23.432468011558463,花都,108402617278,2400000.0,15959,Middle,150.39,Flat,Tower,Steel/Concrete,Rough,Yes,2012,3,2,1,2
40,guangzhou,翡翠小区,113.22865682083581,23.38909967164245,花都,108402601963,1390000.0,13900,Middle,100,Flat,Tower,Steel/Concrete,Simplicity,No,2001,3,2,1,1
